dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,1024,"{""n_probes"":1024}",0.90;0.95;0.99,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,1.0,1.0,286.9367270031944,0.280211647464057,3568.7310254591425,0.90;0.95;0.99,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,1024,"{""n_probes"":64}",0.80,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,0.83046875,0.8287109375,75.63975499942899,0.07386694824162987,13537.854531756882,0.80,finite,189036.6887515583,189036.6887515583,18903.668875155832,1890.3668875155831,189.0366887515583
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_pq_balanced,1024,"{""n_probes"":256}",0.80,3,1.5708783290028805,512000128,74711465,1033109504,1537671168,3,0.826953125,0.82607421875,77.22689600632293,0.07541689063117474,13259.629131231175,0.80,finite,2903007.0351189426,2903007.0351189426,290300.7035118943,29030.070351189424,2903.0070351189424
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,brute_force,1,{},1.00,3,0.026722316004452296,1536000128,1540001186,1792278528,2294743040,3,1.0,1.0,4.554389000986703,4.554389000986703,219.56842065606412,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,ivf_flat,1,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.5509596589981811,1536000128,1570457503,4621336576,5123801088,3,1.0,1.0,3.8311420066747814,3.8311420066747814,261.0187767140338,0.80;0.90;0.95;0.99,finite,761.7863099760962,761.7863099760962,76.17863099760962,7.617863099760962,0.7617863099760962
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,brute_force,32,{},1.00,3,0.026722316004452296,1536000128,1540001186,1792278528,2294743040,3,1.0,1.0,11.279107005975675,0.35247209393673984,2837.1040351905863,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,ivf_flat,32,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.5509596589981811,1536000128,1570457503,4621336576,5123801088,3,1.0,1.0,30.130981998809148,0.9415931874627859,1062.029773913931,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,brute_force,256,{},1.00,3,0.026722316004452296,1536000128,1540001186,1792278528,2294743040,3,1.0,1.0,71.89833099982934,0.28085285546808336,3560.583346512002,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,ivf_flat,256,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.5509596589981811,1536000128,1570457503,4621336576,5123801088,3,1.0,1.0,219.3124550030916,0.8566892773558266,1167.2843660265041,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,brute_force,1024,{},1.00,3,0.026722316004452296,1536000128,1540001186,1792278528,2294743040,3,1.0,1.0,246.2507390009705,0.24047923730563525,4158.363155190224,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d384,vectors-c6e6c094c586,1000000,384,ivf_flat,1024,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.5509596589981811,1536000128,1570457503,4621336576,5123801088,3,1.0,1.0,979.7172830003547,0.9567551591800338,1045.1994853699332,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,brute_force,1,{},1.00,3,0.02951537699846085,3072000128,3076001186,3333685248,3838246912,3,1.0,1.0,8.89947800169466,8.89947800169466,112.36614100395299,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,ivf_flat,1,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.850746745003562,3072000128,3131918239,8014528512,8516993024,3,1.0,1.0,7.576913994853385,7.576913994853385,131.97985362896418,0.80;0.90;0.95;0.99,finite,643.2556311852377,643.2556311852377,64.32556311852377,6.432556311852377,0.6432556311852377
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,brute_force,32,{},1.00,3,0.02951537699846085,3072000128,3076001186,3333685248,3838246912,3,1.0,1.0,22.54002900008345,0.7043759062526078,1419.6964875192275,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,ivf_flat,32,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.850746745003562,3072000128,3131918239,8014528512,8516993024,3,1.0,1.0,102.15009300009115,3.1921904062528483,313.2645214524812,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,brute_force,256,{},1.00,3,0.02951537699846085,3072000128,3076001186,3333685248,3838246912,3,1.0,1.0,148.89047400356503,0.5816034140764259,1719.38468000223,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,ivf_flat,256,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.850746745003562,3072000128,3131918239,8014528512,8508604416,2,1.0,1.0,720.7312949976767,2.8153566210846748,355.19478864980493,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,brute_force,1024,{},1.00,3,0.02951537699846085,3072000128,3076001186,3333685248,3333685248,1,1.0,1.0,505.13709699589526,0.49329794628505397,2027.172437126155,1.00,reference,0.0,0.0,0.0,0.0,0.0
dimension-1m-d768,vectors-57bc1e594ecb,1000000,768,ivf_flat,1024,"{""n_probes"":1024}",0.80;0.90;0.95;0.99,3,0.850746745003562,3072000128,3131918239,8014528512,8516993024,3,1.0,1.0,2848.1105550017674,2.7813579638689134,359.53660513693245,0.80;0.90;0.95;0.99,ann-not-faster,,,,,
scale-5m-d128,vectors-1317ee076d5d,5000000,128,brute_force,1,{},1.00,3,0.029561173003457952,2560000128,2580001186,2836660224,3339124736,3,1.0,1.0,7.255976001033559,7.255976001033559,137.81743487816905,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-5m-d128,vectors-1317ee076d5d,5000000,128,brute_force,32,{},1.00,3,0.029561173003457952,2560000128,2580001186,2836660224,3339124736,3,1.0,1.0,18.500100006349385,0.5781281251984183,1729.7203792961843,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-5m-d128,vectors-1317ee076d5d,5000000,128,cagra,32,"{""itopk_size"":32,""search_width"":8}",0.80;0.90,3,17.962704958998074,2560000128,3840001848,4298375168,4834394112,3,0.975,0.953125,0.6098650046624243,0.01905828139570076,52470.628344567514,0.80;0.90,finite,32129.62594587142,32129.62594587142,3212.962594587142,321.2962594587142,32.12962594587142
scale-5m-d128,vectors-1317ee076d5d,5000000,128,cagra,32,"{""itopk_size"":512,""search_width"":16}",0.95,3,17.962704958998074,2560000128,3840001848,4298375168,4834394112,3,0.96875,0.96875,1.182209001854062,0.03694403130793944,27067.971864377872,0.95,finite,33191.48726243467,33191.48726243467,3319.1487262434666,331.9148726243467,33.19148726243467
