"study","profile","codec","rows","parquet_bytes","estimated_logical_bytes","workload","engine","median_seconds","min_seconds","max_seconds","relative_to_fastest","gpu_utilization_mean_percent","process_cpu_cores_mean","process_rss_peak_bytes","trials","correct"
"crossover","wide","zstd","5000000","491838526","864999948","join_groupby","polars-gpu","0.035276331","0.033073314","0.037552874","1.0","28.333333333333332","1.6402234725240132","1551978496","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","scan_groupby","cudf","0.028449417","0.02840074","0.028470846","1.1255910809579281","42.333333333333336","1.3522717676219813","1689649152","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","scan_groupby","duckdb","0.026365736","0.025580387","0.028064579","1.0431509821270277","34.333333333333336","3.691220061935121","1825026048","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","scan_groupby","polars-cpu","0.025275091","0.024894665","0.025891416","1.0","36.666666666666664","4.675187398541081","1782403072","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","scan_groupby","polars-gpu","0.03596157","0.035178571","0.038084686","1.4228067467689829","0.3333333333333333","1.1832358487465948","1602129920","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","sort_topk","cudf","0.037419893","0.036749202","0.038320364","1.937346240175913","14.666666666666666","1.0780509293419918","1870516224","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","sort_topk","duckdb","0.025112472","0.024391332","0.025436793","1.300152119909132","25.555555555555554","3.686332370510483","1751621632","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","sort_topk","polars-cpu","0.019315026","0.016919037","0.020668344","1.0","34.0","5.753293767383546","1475960832","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","sort_topk","polars-gpu","0.041148977","0.039812935","0.042532795","2.13041271598599","50.0","0.9554439819741426","1533235200","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","string_features","cudf","0.026955626","0.02678684","0.027345315","1.422136272891879","17.0","1.2061748287793255","1689178112","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","string_features","duckdb","0.01895432","0.018715255","0.018964768","1.0","17.333333333333332","3.594940312095892","1495580672","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","string_features","polars-cpu","0.028041177","0.026935825","0.028586103","1.4794082298916553","4.0","4.52533249407858","1579982848","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","string_features","polars-gpu","0.036130057","0.035321079","0.036684661","1.906164768770391","35.666666666666664","1.114763261013988","1738174464","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_12","cudf","0.157612256","0.157152473","0.159833915","1.2889757342362267","13.555555555555555","2.0095386998346156","2112618496","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_12","duckdb","0.133065584","0.132479756","0.134591744","1.0882295145751373","4.0","6.699165708640006","2233364480","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_12","polars-cpu","0.174476503","0.168279185","0.184990108","1.4268939755636403","10.0","6.9446595426144855","3007770624","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_12","polars-gpu","0.122277132","0.12068984","0.122303305","1.0","33.333333333333336","2.697745831860257","2270760960","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_2","cudf","0.059897822","0.059434318","0.060229968","1.1568655698628614","32.666666666666664","1.7038773466426955","2021908480","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_2","duckdb","0.051775957","0.05140687","0.052510249","1.0","14.666666666666666","6.114963845742012","2409480192","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_2","polars-cpu","0.06458728","0.059823936","0.06893092","1.2474376861831835","14.0","6.5064247188648485","1953034240","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_2","polars-gpu","0.059263911","0.056916186","0.060833366","1.1446222230136665","13.666666666666666","1.4427559365067932","2304135168","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_6","cudf","0.098368678","0.097468938","0.099215354","1.176473533169722","3.0","1.8573646998664326","1995640832","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_6","duckdb","0.083613167","0.083337642","0.084809464","1.0","6.777777777777778","6.194943700564366","2188062720","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_6","polars-cpu","0.106543149","0.099767186","0.107323071","1.2742388887147404","36.666666666666664","6.986455551862548","2391904256","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","feature_width_6","polars-gpu","0.089842415","0.08477758","0.090509753","1.074500802008851","19.0","2.258526544892495","2316500992","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","join_groupby","cudf","0.052654764","0.052373515","0.053400486","1.2060333039842155","3.3333333333333335","1.2806635515268507","2414227456","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","join_groupby","duckdb","0.061877138","0.061113809","0.062182213","1.4172675654424594","3.4","4.921130792380111","2134069248","3","True"
"crossover","wide","zstd","10000000","983414892","1729999896","join_groupby","polars-cpu","0.065484916","0.061597046","0.069094484","1.499902071626583","14.200000000000001","6.568371290306378","1893109760","3","True"
