run_id,profile,repetition,phase,step_order,workload,rows_in,rows_out,input_bytes,output_bytes,elapsed_ms,rows_per_second,peak_rss_bytes,snapshot_before,snapshot_after,correctness,details_json
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,6,validate_quality,30250010,6,0,1526884344,1979.529,,461451264,332,333,True,"{""managed_files"":16,""metrics"":{""events_accepted"":19998000.0,""events_quarantined"":2000.0,""fact_revenue"":3853270241.04,""orders_accepted"":10249810.0,""orders_quarantined"":200.0,""sessions"":2857143.0}}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,7,query_history,20249610,2,0,1526884344,290.242,69768045.21,201723904,333,333,True,"{""current_revenue"":3853270241.04,""current_rows"":10249810,""historical_revenue"":3782951586.66,""historical_rows"":9999800,""historical_snapshot"":322,""managed_files"":16}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,1,generate_sources,0,31600000,0,3831174183,35234.691,896843.4,140075008,335,335,True,"{""changes"":500000,""customers"":1000000,""events"":20000000,""orders"":10000000,""products"":100000,""seed"":20260901}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,2,ingest_batch,11100000,11100000,253048554,1526884344,2285.172,4857403.27,240975872,335,338,True,"{""customers"":1000000,""managed_files"":16,""orders"":10000000,""products"":100000}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,3,prepare_and_model,10000000,9999800,0,1507068983,5968.282,1675524.19,849088512,338,344,True,"{""accepted"":9999800,""daily_rows"":1800,""managed_files"":14,""quarantined"":200}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,4,apply_incremental,500000,10249810,36795992,1526673260,4857.815,102926.93,874827776,344,350,True,"{""after_rows"":10249810,""before_rows"":9999800,""managed_files"":16,""operations"":{""delete"":50000,""insert"":300000,""update"":150000}}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,5,process_events,20000000,19998000,3541329637,1526622483,10006.574,1998685.98,865112064,350,354,True,"{""accepted"":19998000,""managed_files"":16,""quarantined"":2000,""sessions"":2857143}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,6,validate_quality,30250010,6,0,1526622483,1939.554,,455897088,354,355,True,"{""managed_files"":16,""metrics"":{""events_accepted"":19998000.0,""events_quarantined"":2000.0,""fact_revenue"":3853270241.04,""orders_accepted"":10249810.0,""orders_quarantined"":200.0,""sessions"":2857143.0}}"
214dd185-d8d2-4acc-b15f-c1e57928de0d,medium,3,measured,7,query_history,20249610,2,0,1526622483,298.428,67854279.04,201674752,355,355,True,"{""current_revenue"":3853270241.04,""current_rows"":10249810,""historical_revenue"":3782951586.66,""historical_rows"":9999800,""historical_snapshot"":344,""managed_files"":16}"
bd040256-a81e-4536-b9a4-5ff6163f3de3,medium,4,measured,1,generate_sources,0,31600000,0,3831174183,34706.358,910496.0,140013568,357,357,True,"{""changes"":500000,""customers"":1000000,""events"":20000000,""orders"":10000000,""products"":100000,""seed"":20260901}"
