rows,features,input_bytes,implementation,layout,block_size,replications,resident_wall_seconds,resident_wall_seconds_min,resident_wall_seconds_max,resident_device_seconds,one_shot_seconds,one_shot_seconds_min,one_shot_seconds_max,cold_compile_seconds,aos_to_soa_conversion_seconds,max_abs_score_error,flag_mismatches,registers_per_thread,static_shared_memory_bytes,active_blocks_per_multiprocessor,theoretical_occupancy,resident_speedup_vs_numpy,one_shot_speedup_vs_numpy
16777216,16,1073741824,numpy,aos,,3,1.046926003007684,1.0395136809966061,1.0724123980035074,,1.046926003007684,1.0395136809966061,1.0724123980035074,,0.02367091499036178,0.0,0,,,,,1.0,1.0
16777216,16,1073741824,raw_aos_b256,aos,256,3,0.0028401770105119795,0.0028366049809847027,0.0028440169990062714,0.002833215951919556,0.09587854600977153,0.09558572998503223,0.09641766198910773,0.056527175998780876,0.02367091499036178,5.7220458984375e-06,2,39,0,6,1.0,368.6129417754007,10.919293695807461
16777216,16,1073741824,raw_soa_b256,soa,256,3,0.002839322987711057,0.0028342930017970502,0.0028488339739851654,0.0028325119018554686,0.09581761399749666,0.09551010400173254,0.09644949799985625,0.056527175998780876,0.02367091499036178,5.7220458984375e-06,2,39,0,6,1.0,368.72381463430185,10.926237456038468
16777216,16,1073741824,raw_strided_b256,strided,256,3,0.0031805820181034505,0.003173951990902424,0.0032345500076189637,0.0031738879680633545,,,,0.056527175998780876,0.02367091499036178,5.7220458984375e-06,2,39,0,6,1.0,329.16176883624445,
262144,16,16777216,cupy_composed,aos,,3,0.0010486760002095252,0.0010244139994028956,0.0010555970075074583,0.0010427199602127074,0.0027668490074574947,0.0027540810115169734,0.0028554430173244327,,7.01569952070713e-05,3.814697265625e-06,0,,,,,8.723136614930304,3.3061956001106068
262144,16,16777216,cupy_partial_fusion,aos,,3,0.0009544150088913739,0.0009539930033497512,0.0009556989825796336,0.0009492800235748291,0.0026436040061526,0.002622223022626713,0.002705290011363104,0.04341788898454979,7.01569952070713e-05,3.814697265625e-06,0,,,,,9.584660686813983,3.4603306672770726
262144,16,16777216,numpy,aos,,3,0.009147744014626369,0.00909967499319464,0.009261034021619707,,0.009147744014626369,0.00909967499319464,0.009261034021619707,,7.01569952070713e-05,0.0,0,,,,,1.0,1.0
262144,16,16777216,raw_aos_b256,aos,256,3,4.559798981063068e-05,3.6676996387541294e-05,4.785897908732295e-05,4.064000025391579e-05,0.0017462380055803806,0.0017422969976905733,0.0017546179878991097,0.05850495499907993,7.01569952070713e-05,5.7220458984375e-06,0,39,0,6,1.0,200.61726520439,5.238543649487242
262144,16,16777216,raw_soa_b256,soa,256,3,5.736202001571655e-05,5.7111989008262753e-05,5.7837984059005976e-05,5.2032001316547395e-05,0.0018155519792344421,0.0017648419889155775,0.0018215080199297518,0.05850495499907993,7.01569952070713e-05,5.7220458984375e-06,0,39,0,6,1.0,159.47388205854656,5.038547019999762
262144,16,16777216,raw_strided_b256,strided,256,3,5.9326994232833385e-05,5.821199738420546e-05,6.0049002058804035e-05,5.3759999573230744e-05,,,,0.05850495499907993,7.01569952070713e-05,5.7220458984375e-06,0,39,0,6,1.0,154.1919345976865,
262144,256,268435456,cupy_composed,aos,,3,0.007000281999353319,0.006997610005782917,0.007003852020716295,0.0069937920570373536,0.028217196988407522,0.0281815140042454,0.028249646013136953,,0.0029674429970327765,1.52587890625e-05,0,,,,,25.488516822862156,6.3233355736432415
262144,256,268435456,cupy_partial_fusion,aos,,3,0.0027810600004158914,0.0027716190088540316,0.0027839130198117346,0.0027738239765167237,0.023859010980231687,0.023855742008890957,0.02386350801680237,0.043584491999354213,0.0029674429970327765,1.52587890625e-05,0,,,,,64.15784106729575,7.478382303991193
262144,256,268435456,numpy,aos,,6,0.17842680550529622,0.17532805298105814,0.1795599090110045,,0.17842680550529622,0.17532805298105814,0.1795599090110045,,0.00296393949247431,0.0,0,,,,,1.0,1.0
