dataset_id,rows,features,input_gib,clusters,informative_features,cluster_scale,algorithm,engine,replications,load_seconds,explicit_transfer_seconds,fit_seconds,fit_seconds_min,fit_seconds_max,one_shot_fit_seconds,one_shot_fit_seconds_min,one_shot_fit_seconds_max,quality_metric,quality_value,peak_gpu_memory_gib,fit_energy_joules,fit_speedup_vs_cpu,one_shot_speedup_vs_cpu,quality_gap_vs_cpu
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,logistic_regression,cpu,3,0.042866036004852504,0.0,0.37172655400354415,0.3210795560007682,0.40101593401050195,0.4142763979907613,0.3640312380011892,0.44388197001535445,roc_auc,0.9915337104077133,0.468994140625,5.844039400754612,1.0,1.0,0.0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,logistic_regression,native_gpu,3,0.04409474300337024,0.08708464600204024,0.18894858000567183,0.14438532300118823,0.24518932099454105,0.3214178860071115,0.2755960850045085,0.3747202179947635,roc_auc,0.9915337627220825,1.08245849609375,2.3948098398852014,1.9673424060259448,1.2889027525418895,5.231436916997012e-08
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,pca,accel,3,0.03564141600509174,0.0,0.2702456439874368,0.26902644100482576,0.2705882640002528,0.3057184189965483,0.304689517011866,0.30622968000534456,explained_variance_ratio_sum,0.6539775729179382,1.16448974609375,4.585179239748686,3.525021239751089,3.256254766303448,4.112720489501953e-06
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,pca,cpu,3,0.04308169599971734,0.0,0.9526216350059258,0.9524070829938864,0.9598291460133623,0.9954970590042649,0.9954887789936038,1.0043703950213967,explained_variance_ratio_sum,0.6539734601974487,0.468994140625,15.160342884511163,1.0,1.0,0.0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,pca,native_gpu,3,0.043737972009694204,0.08718380000209436,0.05104012899391819,0.051022611994994804,0.05106249000527896,0.18198426201706752,0.17926373600494117,0.18580037099309266,explained_variance_ratio_sum,0.6539775729179382,1.29144287109375,0.6618843681274447,18.664169816644424,5.470237085176637,4.112720489501953e-06
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,random_forest,accel,3,0.035725779001950286,0.0,3.351378384002601,3.3484672339982353,3.357821990008233,3.387104163004551,3.3840413829893805,3.3936913900106447,roc_auc,0.9872003354434153,1.38714599609375,208.76837606462195,25.028919668220855,24.77747470085505,9.529016414078217e-05
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,random_forest,cpu,3,0.04266713999095373,0.0,83.88138035101292,83.56872354200459,84.37695263900969,83.92388770800608,83.61139068199554,84.42100508401927,roc_auc,0.9871050452792746,0.468994140625,589.9415098745072,1.0,1.0,0.0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,random_forest,native_gpu,3,0.04383253899868578,0.0876920120063005,3.5459191519912565,3.5456371100008255,3.551845345995389,3.677319581984193,3.6771616610058118,3.681333572996664,roc_auc,0.9872003354434153,1.06488037109375,219.1920024008888,23.6557509507537,22.822027250273084,9.529016414078217e-05
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,xgboost,cpu,3,0.043918441006098874,0.0,6.730770378009765,6.680641651008045,6.7426172489940654,6.774688819015864,6.72309966001194,6.787284025995177,roc_auc,0.9911937886985682,0.69378662109375,103.99147230872755,1.0,1.0,0.0
r1000000-f64-290325b13dfa,1000000,64,0.2384185791015625,16,8,3.0,xgboost,native_gpu,3,0.04291950800688937,0.08634145799442194,1.430532834987389,1.4261347389983712,1.4317269650055096,1.5605467239802238,1.5553957049996825,1.5620560950046638,roc_auc,0.9911683808763199,1.77191162109375,93.1696562488648,4.705079263747973,4.3412277985094905,-2.5407822248357803e-05
r20000-f16-02ec1a19bbd5,20000,16,0.0011920928955078125,16,8,6.0,hdbscan,accel,3,0.0006989399989834055,0.0,0.04033763699408155,0.03604102700774092,0.04055081101250835,0.04104154199012555,0.03673777500807773,0.04124975101149175,adjusted_rand_score,1.0,0.81488037109375,0.33796957837422087,5.79941747781779,5.7201460668780255,0.0
r20000-f16-02ec1a19bbd5,20000,16,0.0011920928955078125,16,8,6.0,hdbscan,cpu,3,0.0008288179960800335,0.0,0.23393479699734598,0.2330274329870008,0.23719489500217605,0.23476361499342602,0.2338671009929385,0.2380205619992921,adjusted_rand_score,1.0,0.468994140625,1.5302070288062677,1.0,1.0,0.0
