dataset_id,algorithm,engine,batch_size,latency_ms,latency_ms_min,latency_ms_max,rows_per_second,speedup_vs_cpu,break_even_batches
r100000-f16-c266220c3755,xgboost,native_gpu,4096,0.9066850034287199,0.9042210003826767,0.9083199984161183,4517555.694106075,1.1426206453893186,0
r100000-f256-c09c5a1c18ca,kmeans,accel,1,1.0071590077131987,0.9503619949100539,1.0203040146734565,992.8918793771666,0.07678032706731719,
r100000-f256-c09c5a1c18ca,kmeans,accel,256,1.0894390143221244,1.0560759983491153,1.2590609985636547,234983.3231916056,0.08443887886196824,
r100000-f256-c09c5a1c18ca,kmeans,accel,4096,1.7389179993188009,1.6145239933393896,1.806284999474883,2355487.723748076,0.18953855407979756,
r100000-f256-c09c5a1c18ca,kmeans,cpu,1,0.07732999802101403,0.07680599810555577,0.08012799662537873,12931.592209898352,1.0,
r100000-f256-c09c5a1c18ca,kmeans,cpu,256,0.09199100895784795,0.0877900019986555,0.09318899537902325,2782880.6630146224,1.0,
r100000-f256-c09c5a1c18ca,kmeans,cpu,4096,0.3295920032542199,0.32239899155683815,0.4068679845659062,12427485.981329123,1.0,
r100000-f256-c09c5a1c18ca,kmeans,native_gpu,1,0.24309700529556721,0.22936699679121375,0.24454099184367806,4113.584199789542,0.3181034580289999,
r100000-f256-c09c5a1c18ca,kmeans,native_gpu,256,0.213412000448443,0.21274900063872337,0.22184298723004758,1199557.660591095,0.43104890430035375,
r100000-f256-c09c5a1c18ca,kmeans,native_gpu,4096,0.22215599892660975,0.2212370018241927,0.22531399736180902,18437494.46240762,1.483606136438846,0
r100000-f256-c09c5a1c18ca,logistic_regression,accel,1,0.4339439910836518,0.4211859923088923,0.4379010060802102,2304.4448605055786,0.14504867204347735,
r100000-f256-c09c5a1c18ca,logistic_regression,accel,256,0.39286998799070716,0.3917849826393649,0.4054480086779222,651615.0579719399,0.16854434913633767,
r100000-f256-c09c5a1c18ca,logistic_regression,accel,4096,1.228275999892503,1.2124049972044304,1.3380160089582205,3334755.381004331,0.19592991220911418,
r100000-f256-c09c5a1c18ca,logistic_regression,cpu,1,0.06294299964793026,0.06052199751138687,0.06310098979156464,15887.39026728102,1.0,
r100000-f256-c09c5a1c18ca,logistic_regression,cpu,256,0.06621601642109454,0.062310995417647064,0.06824999582022429,3866134.1143205,1.0,
r100000-f256-c09c5a1c18ca,logistic_regression,cpu,4096,0.24065600882750005,0.22522200015373528,0.25553499290253967,17020144.312856007,1.0,
r100000-f256-c09c5a1c18ca,logistic_regression,native_gpu,1,0.30313000024762005,0.29586600430775434,0.3071109822485596,3298.9146543830125,0.20764358392938195,
r100000-f256-c09c5a1c18ca,logistic_regression,native_gpu,256,0.24739900254644454,0.2438220108160749,0.2563549787737429,1034765.6917167271,0.2676486798230471,
r100000-f256-c09c5a1c18ca,logistic_regression,native_gpu,4096,0.25209599698428065,0.24765699345152825,0.2604650071589276,16247778.818381652,0.9546205084823542,
r100000-f256-c09c5a1c18ca,pca,accel,1,0.24236699391622096,0.23871900339145213,0.2590450021671131,4125.974349236968,0.21707167307912728,
r100000-f256-c09c5a1c18ca,pca,accel,256,0.32313000701833516,0.32255898986477405,0.3250490117352456,792250.7796853232,0.19664530917696543,
r100000-f256-c09c5a1c18ca,pca,accel,4096,3.5470369912218302,3.3927309996215627,3.5497810022206977,1154766.6432960066,0.08027263498089846,
r100000-f256-c09c5a1c18ca,pca,cpu,1,0.052611008868552744,0.05157399573363364,0.05281600169837475,19007.42870182312,1.0,
r100000-f256-c09c5a1c18ca,pca,cpu,256,0.06354200013447553,0.06334100908134133,0.0646809785393998,4028831.3156372285,1.0,
r100000-f256-c09c5a1c18ca,pca,cpu,4096,0.2847300056600943,0.2790870057651773,0.2872259938158095,14385557.962197118,1.0,
r100000-f256-c09c5a1c18ca,pca,native_gpu,1,0.15715399058535695,0.1524960098322481,0.15877201803959906,6363.185537161768,0.3347736107278643,
r100000-f256-c09c5a1c18ca,pca,native_gpu,256,0.20111699996050447,0.19757699919864535,0.2264969953102991,1272890.9045494588,0.31594544542208747,
r100000-f256-c09c5a1c18ca,pca,native_gpu,4096,0.34717000380624086,0.3440750151639804,0.3484339831629768,11798254.328118796,0.8201457572325432,
r100000-f256-c09c5a1c18ca,xgboost,cpu,1,0.21125101193320006,0.19356299890205264,0.2136389957740903,4733.70513517924,1.0,
r100000-f256-c09c5a1c18ca,xgboost,cpu,256,0.3418749838601798,0.3397719992790371,0.3502409963402897,748811.7355340016,1.0,
r100000-f256-c09c5a1c18ca,xgboost,cpu,4096,1.2501620076363906,1.2288349971640855,1.3847240043105558,3276375.3617373733,1.0,
r100000-f256-c09c5a1c18ca,xgboost,native_gpu,1,1.1495539947645739,1.1441559909144416,1.153409990365617,869.902592269968,0.18376780290034467,
r100000-f256-c09c5a1c18ca,xgboost,native_gpu,256,1.3772720121778548,1.3754469982814044,1.3779840082861483,185874.68396688896,0.2482261897702976,
r100000-f256-c09c5a1c18ca,xgboost,native_gpu,4096,1.4046490105101839,1.3975779875181615,1.4047199947526678,2916030.9581624866,0.890017362545479,
r100000-f64-95c45761708e,kmeans,accel,1,1.1118379916297272,1.1050960019929335,1.323543008766137,899.4116116991149,0.06727958963378343,
r100000-f64-95c45761708e,kmeans,accel,256,0.8543339936295524,0.38476298504974693,1.325926001300104,299648.61741297407,0.0897822213603498,
r100000-f64-95c45761708e,kmeans,accel,4096,0.4986050189472735,0.48955601232592016,1.2684550019912422,8214919.313584254,0.2946199665210089,
r100000-f64-95c45761708e,kmeans,cpu,1,0.07480400381609797,0.07423800707329065,0.07647099846508354,13368.26839454278,1.0,
r100000-f64-95c45761708e,kmeans,cpu,256,0.07670400373172015,0.07392899715341628,0.07723999442532659,3337505.0524792075,1.0,
r100000-f64-95c45761708e,kmeans,cpu,4096,0.14689899398945272,0.14307699166238308,0.1608159946044907,27883104.497598473,1.0,
r100000-f64-95c45761708e,kmeans,native_gpu,1,0.22888201056048274,0.22862799232825637,0.2489970065653324,4369.063333335876,0.3268234302596306,
r100000-f64-95c45761708e,kmeans,native_gpu,256,0.2115359966410324,0.2090809866786003,0.21288599236868322,1210195.9196780163,0.36260497007459014,
r100000-f64-95c45761708e,kmeans,native_gpu,4096,0.21083799947518855,0.21050299983471632,0.21303399989847094,19427238.02253691,0.6967387015391399,
r100000-f64-95c45761708e,logistic_regression,accel,1,0.4238359979353845,0.4175320063950494,0.4293020028853789,2359.4031768685536,0.15276661355909066,
r100000-f64-95c45761708e,logistic_regression,accel,256,0.3698859945870936,0.3698369982885197,0.3773569915210828,692105.1452239349,0.1646642829839771,
